Athlete;Age;Country;Year;Closing Ceremony Date;Sport;Gold Medals;Silver Medals;Bronze Medals;Total Medals;Points;Type;Continent
Jiao Liuyang;18;China;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;ASIA
Cullen Jones;24;United States;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;AMERICA
Mirna Jukic;22;Austria;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;EUROPE
Klete Keller;26;United States;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;AMERICA
Ranomi Kromowidjojo;17;Netherlands;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;EUROPE
Yevgeny Lagunov;22;Russia;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;ASIA
Liu Zige;19;China;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;ASIA
Nikita Lobintsev;19;Russia;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;ASIA
Thomas Lurz;28;Germany;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;EUROPE
Linda MacKenzie;24;Australia;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;OCEANIA
Grégory Mallet;24;France;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;EUROPE
Christine Marshall;22;United States;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;AMERICA
Takeshi Matsuda;24;Japan;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;ASIA
Oussama Mellouli;24;Tunisia;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;AFRICA
Alice Mills;22;Australia;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;OCEANIA
Junichi Miyashita;24;Japan;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;ASIA
Reiko Nakamura;26;Japan;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;ASIA
Sara Nordenstam;25;Norway;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;EUROPE
Lacey Nymeyer;22;United States;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;AMERICA
Alexander Dale Oen;23;Norway;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;EUROPE
Kirk Palmer;21;Australia;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;OCEANIA
Kylie Palmer;18;Australia;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;OCEANIA
Cassie Patten;21;Great Britain;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;EUROPE
Keri-Anne Payne;20;Great Britain;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;EUROPE
Federica Pellegrini;20;Italy;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;EUROPE
Adam Pine;32;Australia;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;OCEANIA
Mikhail Polishchuk;19;Russia;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;ASIA
Megan Quann-Jendrick;24;United States;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;AMERICA
Hisayoshi Sato;21;Japan;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;ASIA
Allison Schmitt;18;United States;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;AMERICA
Hinkelien Schreuder;24;Netherlands;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;EUROPE
Emily Seebohm;16;Australia;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;OCEANIA
Emily Silver;22;United States;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;AMERICA
Christian Sprenger;22;Australia;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;OCEANIA
Boris Steimetz;21;France;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;EUROPE
Aleksandr Sukhorukov;20;Russia;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;ASIA
Sun Ye;19;China;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;ASIA
Tan Miao;21;China;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;ASIA
Tang Jingzhi;21;China;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;ASIA
Maarten van der Weijden;27;Netherlands;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;EUROPE
Manon van Rooijen;26;Netherlands;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;EUROPE
Kim Vandenberg;24;United States;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;AMERICA
Marleen Veldhuis;29;Netherlands;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;EUROPE
Erik Vendt;27;United States;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;AMERICA
Dave Walters;20;United States;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;AMERICA
Tarnee White;27;Australia;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;OCEANIA
Ben Wildman-Tobriner;23;United States;2008;24/08/2008;Swimming;1;0;0;1;3;Olympics;AMERICA
Xu Tianlongzi;17;China;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;ASIA
Yang Yu;23;China;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;ASIA
Zhang Lin;21;China;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;ASIA
Zhao Jing;17;China;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;ASIA
Zhou Yafei;24;China;2008;24/08/2008;Swimming;0;0;1;1;1;Olympics;ASIA
Zhu Qianwei;17;China;2008;24/08/2008;Swimming;0;1;0;1;2;Olympics;ASIA
Georgina Bardach;20;Argentina;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;AMERICA
George Bovell;21;Trinidad and Tobago;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;AMERICA
Emiliano Brembilla;25;Italy;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Federico Cappellazzo;23;Italy;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Simone Cercato;29;Italy;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Lars Conrad;28;Germany;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;EUROPE
Haley Cope;25;United States;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;AMERICA
Ritz Correia;22;United States;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;AMERICA
László Cseh Jr.;18;Hungary;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Petra Dallmann;25;Germany;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Dave Davies;19;Great Britain;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Inge Dekker;18;Netherlands;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Duje Draganja;21;Croatia;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;EUROPE
Steffen Driesen;22;Germany;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;EUROPE
Hugues Duboscq;22;France;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Nate Dusing;25;United States;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;AMERICA
Lyndon Ferns;20;South Africa;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;AFRICA
Solenne Figuès;25;France;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Razvan Florea;23;Romania;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Mark Gangloff;22;United States;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;AMERICA
Scott Goldblatt;25;United States;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;AMERICA
Daniela Götz;16;Germany;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Janina-Kristin Götz;23;Germany;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Chantal Groot;21;Netherlands;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Dániel Gyurta;15;Hungary;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;EUROPE
Sara Harstick;22;Germany;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Rhi Jeffrey;17;United States;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;AMERICA
Larsen Jensen;18;United States;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;AMERICA
Johan Kenkhuis;24;Netherlands;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;EUROPE
Dan Ketchum;22;United States;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;AMERICA
Tara Kirk;22;United States;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;AMERICA
Michael Klim;27;Australia;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;OCEANIA
Stanislava Komarova;18;Russia;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;ASIA
Annabel Kosten;27;Netherlands;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Lenny Krayzelburg;28;United States;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;AMERICA
Jens Kruppa;28;Germany;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;EUROPE
Colleen Lanne;24;United States;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;AMERICA
Li Ji;18;China;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;ASIA
Luo Xuejuan;20;China;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;ASIA
Filippo Magnini;22;Italy;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Antony Matkovich;27;Australia;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;OCEANIA
Helge Meeuw;19;Germany;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;EUROPE
Malia Metella;22;France;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;EUROPE
Diana Munz;22;United States;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;AMERICA
Reiko Nakamura;22;Japan;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;ASIA
Yuko Nakanishi;23;Japan;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;ASIA
Ryk Neethling;26;South Africa;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;AFRICA
Yoshihiro Okumura;21;Japan;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;ASIA
Pang Jiaying;19;China;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;ASIA
Steve Parry;27;Great Britain;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Todd Pearson;26;Australia;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;OCEANIA
Federica Pellegrini;16;Italy;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;EUROPE
Matteo Pelliciari;25;Italy;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Carly Piper;20;United States;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;AMERICA
Sarah Poewe;21;Germany;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Anne Poleska;24;Germany;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Camelia Potec;22;Romania;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;EUROPE
Giaan Rooney;21;Australia;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;OCEANIA
Massimiliano Rosolino;26;Italy;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Thomas Rupprath;27;Germany;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;EUROPE
Sarah Ryan;27;Australia;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;OCEANIA
Jess Schipper;17;Australia;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;OCEANIA
Andriy Serdinov;21;Ukraine;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Ai Shibata;22;Japan;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;ASIA
Nicholas Sprenger;19;Australia;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;OCEANIA
Craig Stevens;24;Australia;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;OCEANIA
Hannah Stockbauer;22;Germany;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Darian Townsend;19;South Africa;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;AFRICA
Peter Vanderkaay;20;United States;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;AMERICA
Mark Veens;26;Netherlands;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;EUROPE
Marleen Veldhuis;25;Netherlands;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;EUROPE
Erik Vendt;23;United States;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;AMERICA
Dana Vollmer;16;United States;2004;29/08/2004;Swimming;1;0;0;1;3;Olympics;AMERICA
Gabe Woodward;25;United States;2004;29/08/2004;Swimming;0;0;1;1;1;Olympics;AMERICA
Xu Yanwei;20;China;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;ASIA
Yang Yu;19;China;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;ASIA
Mitja Zastrow;27;Netherlands;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;EUROPE
Zhu Yingwen;22;China;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;ASIA
Klaas-Erik Zwering;23;Netherlands;2004;29/08/2004;Swimming;0;1;0;1;2;Olympics;EUROPE
Sam Arsenault;18;United States;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;AMERICA
Amanda Beard;18;United States;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;AMERICA
B. J. Bedford;27;United States;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;AMERICA
Lindsay Benko;23;United States;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;AMERICA
Kim Black;21;United States;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;AMERICA
Gustavo Borges;27;Brazil;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;AMERICA
Antje Buschschulte;21;Germany;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Ashley Callus;21;Australia;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;OCEANIA
Dyana Calub;24;Australia;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;OCEANIA
Chad Carvin;26;United States;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;AMERICA
Ian Crocker;18;United States;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;AMERICA
Nate Dusing;21;United States;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;AMERICA
Meike Freitag;21;Germany;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Lars Frölander;26;Sweden;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;EUROPE
Chris Fydler;27;Australia;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;OCEANIA
Scott Goldblatt;21;United States;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;AMERICA
Elka Graham;18;Australia;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;OCEANIA
Chantal Groot;17;Netherlands;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;EUROPE
Tommy Hannan;20;United States;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;AMERICA
Regan Harrison;22;Australia;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;OCEANIA
Sara Harstick;19;Germany;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Thamar Henneken;21;Netherlands;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;EUROPE
Penny Heyns;25;South Africa;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;AFRICA
Misty Hyman;21;United States;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;AMERICA
Carlos Jayme;20;Brazil;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;AMERICA
Louise Jöhncke;24;Sweden;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Anna-Karin Kammerling;19;Sweden;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Johan Kenkhuis;20;Netherlands;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Kerstin Kielgaß;30;Germany;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Bill Kirby;25;Australia;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;OCEANIA
Ágnes Kovács;19;Hungary;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;EUROPE
Kristy Kowal;21;United States;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;AMERICA
Daniel Kowalski;25;Australia;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;OCEANIA
Jens Kruppa;24;Germany;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Josefin Lillhage;20;Sweden;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Tom Malchow;24;United States;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;AMERICA
Roxana Maracineanu;25;France;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;EUROPE
Sumika Minamoto;21;Japan;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;ASIA
Ryan Mitchell;23;Australia;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;OCEANIA
Curtis Myden;26;Canada;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;AMERICA
Miki Nakao;22;Japan;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;ASIA
Justin Norris;20;Australia;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;OCEANIA
Junko Onishi;25;Japan;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;ASIA
Terence Parkin;20;South Africa;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;AFRICA
Aaron Peirsol;17;United States;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;AMERICA
Kieren Perkins;27;Australia;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;OCEANIA
Erin Phenix;19;United States;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;AMERICA
Aleksandr Popov;28;Russia;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;ASIA
Jamie Rauch;21;United States;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;AMERICA
Davide Rummolo;22;Italy;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Thomas Rupprath;23;Germany;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Sarah Ryan;23;Australia;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;OCEANIA
Kaitlin Sandeno;17;United States;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;AMERICA
Xuxa Scherer;25;Brazil;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;AMERICA
Edvaldo Silva Filho;22;Brazil;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;AMERICA
Johanna Sjöberg;22;Sweden;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Roman Sludnov;20;Russia;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;ASIA
Torsten Spanneberg;25;Germany;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Britta Steffen;16;Germany;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Staciana Stitts;19;United States;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;AMERICA
Julia Stowers;18;United States;2000;01/10/2000;Swimming;1;0;0;1;3;Olympics;AMERICA
Malin Svahnström;20;Sweden;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Denys Sylantiev;23;Ukraine;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;EUROPE
Yasuko Tajima;19;Japan;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;ASIA
Masami Tanaka;21;Japan;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;ASIA
Cristina Teuscher;22;United States;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;AMERICA
Chris Thompson;21;United States;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;AMERICA
Kirsten Thomson;16;Australia;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;OCEANIA
Scott Tucker;24;United States;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;AMERICA
Franziska van Almsick;22;Germany;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Mark van der Zijden;26;Netherlands;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Jacinta Van Lint;22;Australia;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;OCEANIA
Wilma van Rijn-van Hofwegen;29;Netherlands;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;EUROPE
Manon van Rooijen;18;Netherlands;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;EUROPE
Erik Vendt;19;United States;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;AMERICA
Josh Watson;23;Australia;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;OCEANIA
Tarnee White;19;Australia;2000;01/10/2000;Swimming;0;1;0;1;2;Olympics;OCEANIA
Tom Wilkens;24;United States;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;AMERICA
Marcel Wouda;28;Netherlands;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Nina Zhivanevskaya;23;Spain;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Martijn Zuijdweg;23;Netherlands;2000;01/10/2000;Swimming;0;0;1;1;1;Olympics;EUROPE
Guillaume Bastille;24;Canada;2010;28/02/2010;Short-Track Speed Skating;1;0;0;1;3;Winter Olympics;AMERICA
Allison Baver;29;United States;2010;28/02/2010;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;AMERICA
Simon Cho;18;United States;2010;28/02/2010;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;AMERICA
Kimberly Derrick;24;United States;2010;28/02/2010;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;AMERICA
Aly Dudek;19;United States;2010;28/02/2010;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;AMERICA
Arianna Fontana;19;Italy;2010;28/02/2010;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;EUROPE
Lana Gehring;19;United States;2010;28/02/2010;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;AMERICA
Jessica Gregg;21;Canada;2010;28/02/2010;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;AMERICA
Gwak Yun-Gi;20;South Korea;2010;28/02/2010;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;ASIA
François Hamelin;23;Canada;2010;28/02/2010;Short-Track Speed Skating;1;0;0;1;3;Winter Olympics;AMERICA
Travis Jayner;27;United States;2010;28/02/2010;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;AMERICA
Olivier Jean;25;Canada;2010;28/02/2010;Short-Track Speed Skating;1;0;0;1;3;Winter Olympics;AMERICA
Kim Seong-Il;19;South Korea;2010;28/02/2010;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;ASIA
Lee Eun-Byeol;18;South Korea;2010;28/02/2010;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;ASIA
Jordan Malone;25;United States;2010;28/02/2010;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;AMERICA
Kalyna Roberge;23;Canada;2010;28/02/2010;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;AMERICA
Sun Linlin;21;China;2010;28/02/2010;Short-Track Speed Skating;1;0;0;1;3;Winter Olympics;ASIA
Tania Vicent;34;Canada;2010;28/02/2010;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;AMERICA
Zhang Hui;21;China;2010;28/02/2010;Short-Track Speed Skating;1;0;0;1;3;Winter Olympics;ASIA
Éric Bédard;29;Canada;2006;26/02/2006;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;AMERICA
Byeon Cheon-Sa;18;South Korea;2006;26/02/2006;Short-Track Speed Skating;1;0;0;1;3;Winter Olympics;ASIA
Marta Capurso;25;Italy;2006;26/02/2006;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;EUROPE
Arianna Fontana;15;Italy;2006;26/02/2006;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;EUROPE
Gang Yun-Mi;18;South Korea;2006;26/02/2006;Short-Track Speed Skating;1;0;0;1;3;Winter Olympics;ASIA
Jonathan Guilmette;27;Canada;2006;26/02/2006;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;AMERICA
Charles Hamelin;21;Canada;2006;26/02/2006;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;AMERICA
Alex Izykowski;22;United States;2006;26/02/2006;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;AMERICA
Jeon Da-Hye;22;South Korea;2006;26/02/2006;Short-Track Speed Skating;1;0;0;1;3;Winter Olympics;ASIA
J. P. Kepka;21;United States;2006;26/02/2006;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;AMERICA
Alanna Kraus;28;Canada;2006;26/02/2006;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;AMERICA
Li Jiajun;30;China;2006;26/02/2006;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;ASIA
O Se-Jong;23;South Korea;2006;26/02/2006;Short-Track Speed Skating;1;0;0;1;3;Winter Olympics;ASIA
Amanda Overland;24;Canada;2006;26/02/2006;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;AMERICA
Evgeniya Radanova;28;Bulgaria;2006;26/02/2006;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;EUROPE
Kalyna Roberge;19;Canada;2006;26/02/2006;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;AMERICA
Seo Ho-Jin;22;South Korea;2006;26/02/2006;Short-Track Speed Skating;1;0;0;1;3;Winter Olympics;ASIA
Rusty Smith;26;United States;2006;26/02/2006;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;AMERICA
Song Seog-U;22;South Korea;2006;26/02/2006;Short-Track Speed Skating;1;0;0;1;3;Winter Olympics;ASIA
Mathieu Turcotte;29;Canada;2006;26/02/2006;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;AMERICA
Tania Vicent;30;Canada;2006;26/02/2006;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;AMERICA
Yang Yang (A);29;China;2006;26/02/2006;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;ASIA
Katia Zini;24;Italy;2006;26/02/2006;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;EUROPE
Mara Zini;26;Italy;2006;26/02/2006;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;EUROPE
An Yulong;23;China;2002;24/02/2002;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;ASIA
Michele Antonioli;25;Italy;2002;24/02/2002;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;EUROPE
Éric Bédard;25;Canada;2002;24/02/2002;Short-Track Speed Skating;1;0;0;1;3;Winter Olympics;AMERICA
Steven Bradbury;28;Australia;2002;24/02/2002;Short-Track Speed Skating;1;0;0;1;3;Winter Olympics;OCEANIA
Maurizio Carnino;26;Italy;2002;24/02/2002;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;EUROPE
Fabio Carta;24;Italy;2002;24/02/2002;Short-Track Speed Skating;0;1;0;1;2;Winter Olympics;EUROPE
Isabelle Charest;31;Canada;2002;24/02/2002;Short-Track Speed Skating;0;0;1;1;1;Winter Olympics;AMERICA
